claim_id,domain,domain_label,support_category,support_label,support_symbol,population_scope_note,repository_evidence_paths
A01,ACCESS,Access,DESCRIPTIVELY_SUPPORTED,Descriptively supported,●,"Directly represents the 6,067 practices in the national analytical cohort unless the claim records a narrower valid population.",outputs/tables/national_profile_assignments.csv;outputs/tables/national_profile_quality.csv;outputs/tables/national_cohort_flow.csv
A02,ACCESS,Access,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,Major qualification required,▲,"Directly represents the 6,067 practices in the national analytical cohort unless the claim records a narrower valid population.",outputs/tables/national_profile_assignments.csv;outputs/tables/national_profile_quality.csv;outputs/tables/national_cohort_flow.csv
A03,ACCESS,Access,DESCRIPTIVELY_SUPPORTED,Descriptively supported,●,"Directly represents the 6,067 practices in the national analytical cohort unless the claim records a narrower valid population.",outputs/tables/national_profile_assignments.csv;outputs/tables/national_profile_quality.csv;outputs/tables/national_cohort_flow.csv
A04,ACCESS,Access,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,Major qualification required,▲,"Directly represents the stated shorter-period calculable cohort; it is smaller than the 6,067-practice annual population.",outputs/tables/temporal_canonical_period_metrics.csv;outputs/tables/temporal_structural_period_metrics.csv
A05,ACCESS,Access,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,Major qualification required,▲,"Directly represents the stated shorter-period calculable cohort; it is smaller than the 6,067-practice annual population.",outputs/tables/temporal_canonical_period_metrics.csv;outputs/tables/temporal_structural_period_metrics.csv
A06,ACCESS,Access,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,Major qualification required,▲,"Directly represents the 3,020-practice CBT inbound cohort; evidence availability is geographically concentrated.",outputs/tables/cbt_inbound_cohort_flow.csv;outputs/tables/cbt_inbound_selection_continuous.csv;outputs/tables/cbt_inbound_selection_categorical.csv
A07,ACCESS,Access,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,Major qualification required,▲,"Directly represents the 1,456-practice outcome-complete CBT cohort; selection is strongly concentrated geographically.",outputs/tables/cbt_outcome_cohort_flow.csv;outputs/tables/cbt_outcome_selection_continuous.csv;outputs/tables/cbt_outcome_selection_categorical.csv
B01,ACCESS,Access,DESCRIPTIVELY_SUPPORTED,Descriptively supported,●,"Directly represents the 6,067 practices in the national analytical cohort unless the claim records a narrower valid population.",outputs/tables/national_profile_assignments.csv;outputs/tables/national_profile_quality.csv;outputs/tables/national_cohort_flow.csv
B02,ACCESS,Access,DESCRIPTIVELY_SUPPORTED,Descriptively supported,●,"Directly represents the 6,067 practices in the national analytical cohort unless the claim records a narrower valid population.",outputs/tables/national_profile_assignments.csv;outputs/tables/national_profile_quality.csv;outputs/tables/national_cohort_flow.csv
B03,ACCESS,Access,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,Major qualification required,▲,"Telephone-route evidence is available in nested cohorts: inbound indicators represent 3,020 practices, while outcome-composition evidence represents the 1,456-practice outcome-complete subset. Both are restricted reporting populations rather than national telephony coverage.",outputs/tables/cbt_inbound_cohort_flow.csv;outputs/tables/cbt_outcome_cohort_flow.csv;outputs/tables/cbt_inbound_selection_categorical.csv;outputs/tables/cbt_outcome_selection_categorical.csv
B04,PATIENT_EXPERIENCE,Patient experience,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,Uses the measure-specific valid practice population recorded in the claim authority.,outputs/tables/evidence_availability_summary.csv;outputs/tables/numeric_profile_descriptive_summary.csv
B05,PATIENT_EXPERIENCE,Patient experience,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,Uses the measure-specific valid practice population recorded in the claim authority.,outputs/tables/evidence_availability_summary.csv;outputs/tables/numeric_profile_descriptive_summary.csv
B06,PATIENT_EXPERIENCE,Patient experience,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,Uses the measure-specific valid practice population recorded in the claim authority.,outputs/tables/evidence_availability_summary.csv;outputs/tables/numeric_profile_descriptive_summary.csv
B07,PATIENT_EXPERIENCE,Patient experience,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,Uses the measure-specific valid practice population recorded in the claim authority.,outputs/tables/evidence_availability_summary.csv;outputs/tables/numeric_profile_descriptive_summary.csv
B08,PATIENT_EXPERIENCE,Patient experience,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,Uses the measure-specific valid practice population recorded in the claim authority.,outputs/tables/evidence_availability_summary.csv;outputs/tables/numeric_profile_descriptive_summary.csv
B09,PATIENT_EXPERIENCE,Patient experience,DESCRIPTIVELY_SUPPORTED,Descriptively supported,●,Uses the measure-specific valid practice population recorded in the claim authority.,outputs/tables/evidence_availability_summary.csv;outputs/tables/numeric_profile_descriptive_summary.csv
B10,PATIENT_EXPERIENCE,Patient experience,DESCRIPTIVELY_SUPPORTED,Descriptively supported,●,Uses the measure-specific valid practice population recorded in the claim authority.,outputs/tables/evidence_availability_summary.csv;outputs/tables/numeric_profile_descriptive_summary.csv
C01,ACCESS,Access,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,The canonical cohort distinguishes the descriptive practice population from the smaller complete-case contextual model; each result represents its stated population.,outputs/tables/population_scope_register.csv;outputs/tables/numeric_profile_descriptive_summary.csv;outputs/tables/context_multinomial_average_marginal_effects.csv
C02,EQUITY,Equity,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,The canonical cohort distinguishes the descriptive practice population from the smaller complete-case contextual model; each result represents its stated population.,outputs/tables/population_scope_register.csv;outputs/tables/numeric_profile_descriptive_summary.csv;outputs/tables/context_multinomial_average_marginal_effects.csv
C03,WORKLOAD,Workload,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,The canonical cohort distinguishes the descriptive practice population from the smaller complete-case contextual model; each result represents its stated population.,outputs/tables/population_scope_register.csv;outputs/tables/numeric_profile_descriptive_summary.csv;outputs/tables/context_multinomial_average_marginal_effects.csv
C04,WORKLOAD,Workload,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,Uses the measure-specific valid practice population recorded in the claim authority.,outputs/tables/evidence_availability_summary.csv;outputs/tables/numeric_profile_descriptive_summary.csv
C05,EQUITY,Equity,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,The canonical cohort distinguishes the descriptive practice population from the smaller complete-case contextual model; each result represents its stated population.,outputs/tables/population_scope_register.csv;outputs/tables/numeric_profile_descriptive_summary.csv;outputs/tables/context_multinomial_average_marginal_effects.csv
C06,EQUITY,Equity,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,The canonical cohort distinguishes the descriptive practice population from the smaller complete-case contextual model; each result represents its stated population.,outputs/tables/population_scope_register.csv;outputs/tables/numeric_profile_descriptive_summary.csv;outputs/tables/context_multinomial_average_marginal_effects.csv
C07,EQUITY,Equity,ASSOCIATIVELY_EXAMINABLE,Associatively examinable,◆,"Represents the 6,067 national practices aggregated across 42 March 2026 ICB organisations.",qgis/data/icb_profile_mapping_layer.geojson;outputs/maps/icb_profile_composition.png
C08,ACCESS,Access,DESCRIPTIVELY_SUPPORTED,Descriptively supported,●,"Represents the 6,067 national practices aggregated across 42 March 2026 ICB organisations.",qgis/data/icb_profile_mapping_layer.geojson;outputs/maps/icb_profile_composition.png
C09,ACCESS,Access,DESCRIPTIVELY_SUPPORTED,Descriptively supported,●,"Directly represents the 6,067 practices in the national analytical cohort unless the claim records a narrower valid population.",outputs/tables/national_profile_assignments.csv;outputs/tables/national_profile_quality.csv;outputs/tables/national_cohort_flow.csv
D01,ACCESS,Access,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D02,ACCESS,Access,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D03,WORKLOAD,Workload,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D04,WORKLOAD,Workload,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D05,WORKLOAD,Workload,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D06,ACCESS,Access,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D07,ACCESS,Access,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D08,SAFETY,Safety,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D09,SAFETY,Safety,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
D10,EQUITY,Equity,NOT_SUPPORTABLE_WITH_CURRENT_PUBLIC_DATA,Additional evidence required,○,No valid analytical cohort exists for this construct in the available evidence.,outputs/tables/claim_to_evidence_matrix.csv
