claim_id,domain,proposed_claim,rejected_claim,exact_construct_observed,analytical_unit,source_datasets,relevant_cohort,study_design,methods_actually_used,key_evidence_result,robustness_evidence,missingness_coverage,uncertainty,main_bias_risks,ecological_temporal_limitation,support_category,confidence_in_category,permitted_wording,prohibited_wording,additional_data_needed,linked_table_figure,source_lineage,construct_evidence_link,construct_evidence_token,metadata_assignment_method,primary_claim_domain,analytical_evidence_role,claim_evidence_disposition,rejected_claim_evidence_disposition
A01,Recorded activity and profiles,National OCS–GPAD profiles exist.,,Fixed three-profile membership derived from 14 annual OCS and GPAD features.,GP practice,"OCS and GPAD, April 2025 to March 2026","6,067 practices with complete 12-month primary features",Cross-sectional unsupervised clustering with frozen assignments,K-Means clustering; frozen assignment reconciliation,"6,067 practices were assigned once to three profiles: 1,753, 2,312 and 2,002.","Algorithm, feature, CBT-cohort and temporal analyses were retained as separate sensitivities.","All 6,067 primary practices have one assignment; source absence was not converted to activity.","Silhouette, aligned K-Means/GMM disagreement and caution flags quantify assignment uncertainty.","Recorded activity may reflect submission, configuration and coding differences.",Annual practice-level structure does not identify patient journeys or causal mechanisms.,DESCRIPTIVELY_SUPPORTED,HIGH,Three national practice-level recorded-activity profiles were identified.,The profiles are performance tiers or direct measures of access quality.,No additional data are required for the bounded descriptive statement.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv; external_interpretation/01_frozen_inputs/national_profiles/primary_practice_access_clustering_matrix.csv; external_interpretation/08_evidence_readiness/final_results_robustness_summary.csv,Primary matrix → frozen K-Means assignments → ODS-enriched profile master.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv,national_profile_cluster,EXPLICIT_CLAIM_SPECIFIC,ACCESS,PROFILE_STRUCTURE,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
A02,Recorded activity and profiles,Profiles are sufficiently stable for cautious descriptive use.,,"Assignment uncertainty across silhouette, GMM posterior evidence and resampling.",GP practice,Frozen OCS–GPAD profiles and uncertainty diagnostics,"6,067 practices",Post-clustering uncertainty and robustness assessment,"Silhouette, GMM posterior, algorithm disagreement and temporal resampling","1,966 practices (32.4%) carry an interpretive-caution flag.","Half-year reference ARIs were high, while cross-period and algorithm differences remained material.","Uncertainty is available for all 6,067 practices and no uncertain practice was removed.",Multiple complementary assignment diagnostics; not a single probability of truth.,Cluster geometry and algorithm choice influence assignment.,"Stability evidence is annual and practice-level, not proof of enduring latent classes.",PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,HIGH,The profiles support cautious descriptive use with explicit uncertainty.,"The profiles are definitive, permanent or equally certain for every practice.",Longer longitudinal replication would test persistence beyond the study year.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv; external_interpretation/01_frozen_inputs/national_profiles/primary_practice_access_clustering_matrix.csv; external_interpretation/08_evidence_readiness/final_results_robustness_summary.csv,Profile master uncertainty fields plus temporal closure diagnostics.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv,interpretive_caution_flag,EXPLICIT_CLAIM_SPECIFIC,ACCESS,ROBUSTNESS,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
A03,Recorded activity and profiles,Alternative algorithms recover related but non-identical structure.,Alternative algorithms reproduce identical membership,Aligned membership comparison between primary K-Means and spherical GMM.,GP practice,Frozen OCS–GPAD feature matrix and aligned algorithm assignments,"6,067 practices",Deterministic aligned assignment comparison,Aligned K-Means versus spherical-GMM assignment comparison,"1,411 practices (23.3%) differed between aligned K-Means and GMM assignments.",Profile-level interpretation remained related despite non-identical membership.,"All 6,067 practices were compared under both algorithms.",Exact disagreement count and aligned membership comparison.,Alignment can preserve broad interpretation while masking local assignment differences.,One annual feature space does not establish algorithm-independent natural classes.,DESCRIPTIVELY_SUPPORTED,HIGH,Alternative algorithms recovered related but non-identical structure.,Alternative algorithms reproduced identical membership.,No additional longitudinal data are required to decide whether these observed assignments were identical.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv; external_interpretation/01_frozen_inputs/national_profiles/primary_practice_access_clustering_matrix.csv; external_interpretation/08_evidence_readiness/final_results_robustness_summary.csv,Primary K-Means assignment and aligned spherical-GMM assignment in the frozen profile master.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv,kmeans_gmm_aligned_disagreement,EXPLICIT_CLAIM_SPECIFIC,ACCESS,ROBUSTNESS,SUPPORTED_WITH_STATED_BOUNDARY,CONTRADICTED_BY_OBSERVED_ANALYSIS
A04,Recorded activity and profiles,"Feature sensitivity supports a related, non-identical profile interpretation.",,Quarter-1 14-feature versus 12-feature assignment comparison.,GP practice,OCS and GPAD temporal sensitivity evidence,"5,677 quarter-eligible practices",Prespecified feature-set sensitivity,Assignment agreement and adjusted Rand index,Q1 assignment agreement was 91.6% and ARI was 0.761.,Both feature specifications had high within-specification resampling ARI.,Restricted to practices eligible for the quarterly sensitivity.,Agreement and adjusted Rand index quantify consistency.,Feature removal can reassign practices and alter distances.,Quarter-specific sensitivity does not establish invariance across all periods.,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,HIGH,The reduced feature set recovered broadly related structure with some reassignment.,Feature choice had no effect on membership.,Replication with future releases would test whether feature sensitivity persists.,external_interpretation/01_frozen_inputs/temporal_evidence/123_task3_closure_gate.json; external_interpretation/08_evidence_readiness/final_results_robustness_summary.csv,Temporal closure gate Q1 14-feature and 12-feature comparison.,external_interpretation/01_frozen_inputs/temporal_evidence/123_task3_closure_gate.json,q1_full_data_14_vs_12_ari,EXPLICIT_CLAIM_SPECIFIC,ACCESS,ROBUSTNESS,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
A05,Recorded activity and profiles,Temporal robustness supports the annual solution with material within-year variation.,,Half-year and quarterly recurrence of profile structure.,GP practice,Monthly OCS–GPAD temporal master,"5,924 half-year-eligible and 5,677 quarter-eligible practices",Half-year and quarter resampling and assignment comparison,"Temporal resampling, adjusted Rand index and transition summaries",Median reference ARI was 0.960 for H1 and 0.968 for H2; common-sample H1/H2 ARI was 0.464.,One hundred half-year resampling runs and quarterly sensitivity were completed.,Eligibility excludes practices without the required temporal completeness.,"ARI, transition counts and resampling distributions.","Seasonality, reporting changes and changing practice configuration may affect profiles.",One year cannot establish long-run temporal stability.,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,HIGH,"The annual profiles recur strongly within half-years, alongside meaningful within-year reassignment.",Every practice retained the same profile throughout the year.,Additional years are required for long-run persistence claims.,external_interpretation/01_frozen_inputs/temporal_evidence/123_task3_closure_gate.json; external_interpretation/08_evidence_readiness/final_results_robustness_summary.csv,Temporal master → half-year and quarterly resampling → closure gate.,external_interpretation/01_frozen_inputs/temporal_evidence/123_task3_closure_gate.json,median_common_sample_h1_h2_ari,EXPLICIT_CLAIM_SPECIFIC,ACCESS,ROBUSTNESS,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
A06,Recorded activity and profiles,CBT inbound sensitivity produces a related profile structure in submitting practices.,,Assignment change after adding recorded CBT inbound activity indicators.,GP practice,"OCS, GPAD and CBT inbound sensitivity features","3,020 CBT inbound-submitting practices",Restricted-cohort feature-addition sensitivity,Restricted-cohort aligned assignment sensitivity,"571 of 3,020 practices changed aligned assignment after CBT inbound features were added.",The 14-feature restricted-cohort reference and 17-feature CBT model were compared directly.,"Limited to 3,020 submitting practices; non-submission was not coded as zero.",Aligned assignment-change indicator and cohort-specific silhouettes.,Supplier participation and submission coverage may be selective.,Restricted-cohort evidence is not national telephone activity coverage.,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,HIGH,Adding CBT inbound indicators altered some assignments within the submitting-practice cohort.,CBT sensitivity represents all English practices or total telephone demand.,Consistent national CBT submission would improve generalisability.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv; external_interpretation/08_evidence_readiness/final_results_robustness_summary.csv,CBT cohort eligibility and aligned sensitivity assignments in the frozen profile master.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv,cbt_inbound_changed_14_to_17,EXPLICIT_CLAIM_SPECIFIC,ACCESS,ROBUSTNESS,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
A07,Recorded activity and profiles,CBT outcome-complete sensitivity is composition-dependent within its restricted cohort.,,Assignment change across CBT outcome representations.,GP practice,"OCS, GPAD and complete CBT outcome-composition features","1,456 CBT outcome-complete practices",Restricted-cohort raw-share and ILR composition sensitivity,Restricted-cohort raw-share and ILR assignment sensitivity,"729 practices changed from 17 to raw-21 features, while 52 changed from 17 to ILR-20 features.",Raw-share and ILR representations were compared against the same 17-feature restricted reference.,"Limited to 1,456 outcome-complete practices with valid compositions.",Aligned assignment changes and compositional reconciliation.,Complete outcome reporting is selective and raw shares are compositionally dependent.,Results do not generalise to non-submitting or incomplete practices.,PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,HIGH,CBT outcome sensitivity depended on feature representation in the complete-outcome cohort.,CBT outcomes produce a unique national profile solution.,More complete CBT outcome reporting would improve generalisability.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv; external_interpretation/08_evidence_readiness/final_results_robustness_summary.csv,CBT outcome eligibility and aligned raw-share/ILR assignments in the frozen profile master.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv,cbt_outcome_changed_17_to_raw21,EXPLICIT_CLAIM_SPECIFIC,ACCESS,ROBUSTNESS,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B01,Access and patient experience,OCS activity represents visible online-route activity.,,"Recorded OCS submissions and their clinical, administrative and residual composition.",GP practice,Online Consultation Systems activity,"6,067 practices in the primary 12-month profile matrix",Descriptive annual feature construction,Validated annual feature construction and descriptive profile use,OCS activity and composition contribute directly to the 14-feature primary matrix.,Feature-set and temporal sensitivities assess the profile role of OCS measures.,Twelve-month eligibility is required; absence was not interpreted as zero activity.,Assignment uncertainty is reported separately; no HC3 or WLS model was used for this claim.,"Supplier submission, coding and participation differences.","Recorded submissions are not total demand, resolution or patient-level access.",DESCRIPTIVELY_SUPPORTED,HIGH,OCS measures visible recorded online-route activity.,"OCS submissions equal total demand, successful access or resolved need.",Request-level linkage would be required for resolution and journey claims.,external_interpretation/01_frozen_inputs/national_profiles/primary_practice_access_clustering_matrix.csv; external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv,Official OCS source → validated 12-month OCS features → primary matrix.,external_interpretation/01_frozen_inputs/national_profiles/primary_practice_access_clustering_matrix.csv,ocs_submissions_per_1000_patient_months,EXPLICIT_CLAIM_SPECIFIC,ACCESS,PROFILE_STRUCTURE,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B02,Access and patient experience,GPAD represents recorded appointment activity and configuration.,,"Recorded appointment rate, mode, DNA and mutually exclusive booking-delay shares.",GP practice,Appointments in General Practice,"6,067 practices in the primary 12-month profile matrix",Descriptive annual feature construction,Validated annual feature construction and descriptive profile use,GPAD appointment activity and configuration contribute directly to the 14-feature primary matrix.,"Booking-delay, feature-set and temporal checks retain mutually exclusive bands.",Twelve-month eligibility is required; unknown booking intervals remain outside the displayed shares.,Assignment uncertainty is reported separately; no HC3 or WLS model was used for this claim.,Appointment-system recording and configuration differ between practices.,"Recorded appointments are not all demand, first-contact delay or resolution.",DESCRIPTIVELY_SUPPORTED,HIGH,GPAD measures recorded appointment activity and configuration.,GPAD measures total demand or time from first request to resolution.,Linked request and appointment journeys would be required for end-to-end access claims.,external_interpretation/01_frozen_inputs/national_profiles/primary_practice_access_clustering_matrix.csv; external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv,Official GPAD source → validated mutually exclusive annual features → primary matrix.,external_interpretation/01_frozen_inputs/national_profiles/primary_practice_access_clustering_matrix.csv,gpad_1_day_share,EXPLICIT_CLAIM_SPECIFIC,ACCESS,PROFILE_STRUCTURE,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
B03,Access and patient experience,CBT provides recorded telephone-route activity indicators among submitting practices.,,Recorded inbound and outcome-related CBT indicators under supplier and completeness restrictions.,GP practice,Cloud Based Telephony activity,"3,020 inbound-submitting and 1,456 outcome-complete practices",Restricted-cohort descriptive sensitivity analysis,Restricted-cohort descriptive sensitivity; no GPPS regression,"CBT indicators changed 571 inbound-cohort assignments; outcome sensitivities were evaluated in 1,456 practices.","Inbound, raw-outcome and ILR sensitivities were retained separately.",Supplier submission is incomplete; missing activity was not zero-filled.,"Cohort counts, aligned assignment changes and composition checks; no HC3 or WLS model was used.","Supplier coverage, selective submission and outcome completeness.","Indicators do not measure national telephone demand, pressure or unmet need.",PARTIALLY_SUPPORTABLE_WITH_MAJOR_QUALIFICATION,HIGH,CBT provides recorded telephone-route activity indicators among submitting practices.,CBT measures total telephone pressure or represents all practices.,Consistent national submission plus call-journey linkage would support stronger claims.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv; external_interpretation/08_evidence_readiness/final_results_robustness_summary.csv,CBT submission eligibility → restricted feature sensitivities → frozen profile master.,external_interpretation/01_frozen_inputs/national_profiles/national_practice_profile_master_ods_enriched.csv,in_cbt_inbound_restricted_cohort,EXPLICIT_CLAIM_SPECIFIC,ACCESS,PROFILE_STRUCTURE,SUPPORTED_WITH_STATED_BOUNDARY,NOT_APPLICABLE
